,name,interests,ages_ranges,genders,behavior,scholarities,languages,family_statuses,relationship_statuses,geo_locations,household_composition,all_fields,targeting,response,dau_audience,mau_audience,timestamp,publisher_platforms,mock_response
0,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['AE']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['AE']}))","{'geo_locations': {'countries': ['AE'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":1104,""estimate_mau"":1400,""estimate_ready"":true}]}'",1104,1400,1601868117,"[""facebook""]",False
1,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['AF']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['AF']}))","{'geo_locations': {'countries': ['AF'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":0,""estimate_mau"":1000,""estimate_ready"":true}]}'",0,1000,1601868117,"[""facebook""]",False
2,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['AL']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['AL']}))","{'geo_locations': {'countries': ['AL'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":748,""estimate_mau"":1000,""estimate_ready"":true}]}'",748,1000,1601868117,"[""facebook""]",False
3,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['AR']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['AR']}))","{'geo_locations': {'countries': ['AR'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":497,""estimate_mau"":1000,""estimate_ready"":true}]}'",497,1000,1601868117,"[""facebook""]",False
4,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['AT']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['AT']}))","{'geo_locations': {'countries': ['AT'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":13648,""estimate_mau"":16000,""estimate_ready"":true}]}'",13648,16000,1601868117,"[""facebook""]",False
5,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['AU']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['AU']}))","{'geo_locations': {'countries': ['AU'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":2682,""estimate_mau"":3200,""estimate_ready"":true}]}'",2682,3200,1601868117,"[""facebook""]",False
6,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['BA']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['BA']}))","{'geo_locations': {'countries': ['BA'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":7056,""estimate_mau"":9100,""estimate_ready"":true}]}'",7056,9100,1601868117,"[""facebook""]",False
7,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['BE']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['BE']}))","{'geo_locations': {'countries': ['BE'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":1152,""estimate_mau"":1500,""estimate_ready"":true}]}'",1152,1500,1601868117,"[""facebook""]",False
8,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['BG']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['BG']}))","{'geo_locations': {'countries': ['BG'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":6705,""estimate_mau"":7700,""estimate_ready"":true}]}'",6705,7700,1601868117,"[""facebook""]",False
9,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['BH']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['BH']}))","{'geo_locations': {'countries': ['BH'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":332,""estimate_mau"":1000,""estimate_ready"":true}]}'",332,1000,1601868117,"[""facebook""]",False
10,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}","{'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}",,,,"{'name': 'countries', 'values': ['BR']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('scholarities', {'name': 'Graduated', 'or': [3, 7, 8, 9, 10, 11]}), ('geo_locations', {'name': 'countries', 'values': ['BR']}))","{'geo_locations': {'countries': ['BR'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'education_statuses': [3, 7, 8, 9, 10, 11]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":1069,""estimate_mau"":1400,""estimate_ready"":true}]}'",1069,1400,1601868117,"[""facebook""]",False
