,name,interests,ages_ranges,genders,behavior,scholarities,languages,family_statuses,relationship_statuses,geo_locations,household_composition,all_fields,targeting,response,dau_audience,mau_audience,timestamp,publisher_platforms,mock_response
0,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['AE']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['AE']}))","{'geo_locations': {'countries': ['AE'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":582,""estimate_mau"":1000,""estimate_ready"":true}]}'",582,1000,1601883347,"[""facebook""]",False
1,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['AF']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['AF']}))","{'geo_locations': {'countries': ['AF'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":0,""estimate_mau"":1000,""estimate_ready"":true}]}'",0,1000,1601883347,"[""facebook""]",False
2,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['AL']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['AL']}))","{'geo_locations': {'countries': ['AL'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":989,""estimate_mau"":1000,""estimate_ready"":true}]}'",989,1000,1601883347,"[""facebook""]",False
3,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['AR']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['AR']}))","{'geo_locations': {'countries': ['AR'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":0,""estimate_mau"":1000,""estimate_ready"":true}]}'",0,1000,1601883347,"[""facebook""]",False
4,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['AT']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['AT']}))","{'geo_locations': {'countries': ['AT'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":8426,""estimate_mau"":11000,""estimate_ready"":true}]}'",8426,11000,1601883347,"[""facebook""]",False
5,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['AU']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['AU']}))","{'geo_locations': {'countries': ['AU'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":1399,""estimate_mau"":1400,""estimate_ready"":true}]}'",1399,1400,1601883347,"[""facebook""]",False
6,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['BA']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['BA']}))","{'geo_locations': {'countries': ['BA'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":3540,""estimate_mau"":5700,""estimate_ready"":true}]}'",3540,5700,1601883347,"[""facebook""]",False
7,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['BE']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['BE']}))","{'geo_locations': {'countries': ['BE'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":998,""estimate_mau"":1000,""estimate_ready"":true}]}'",998,1000,1601883347,"[""facebook""]",False
8,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['BG']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['BG']}))","{'geo_locations': {'countries': ['BG'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":2706,""estimate_mau"":3000,""estimate_ready"":true}]}'",2706,3000,1601883347,"[""facebook""]",False
9,Expats Distribution in Serbia,,"{'max': 65, 'min': 13}",0,"{'or': [6027149004983], 'name': 'Expats (Serbia)'}",,,,"{'name': 'single', 'or': [1, 10, 11, 12, 13]}","{'name': 'countries', 'values': ['BH']}",,"(('ages_ranges', {'max': 65, 'min': 13}), ('genders', 0), ('behavior', {'or': [6027149004983], 'name': 'Expats (Serbia)'}), ('relationship_statuses', {'name': 'single', 'or': [1, 10, 11, 12, 13]}), ('geo_locations', {'name': 'countries', 'values': ['BH']}))","{'geo_locations': {'countries': ['BH'], 'location_types': ['home']}, 'age_min': 13, 'age_max': 65, 'genders': [0], 'flexible_spec': [{'behaviors': [{'id': 6027149004983}]}, {'relationship_statuses': [1, 10, 11, 12, 13]}], 'publisher_platforms': ['facebook']}","b'{""data"":[{""daily_outcomes_curve"":[{""spend"":0,""reach"":0,""impressions"":0,""actions"":0}],""estimate_dau"":989,""estimate_mau"":1000,""estimate_ready"":true}]}'",989,1000,1601883347,"[""facebook""]",False
